,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners
159,Bob Daiber,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,0.0,14.48,1.1,No,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
160,Chris Kennedy,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,0.0,14.48,24.4,No,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
161,Daniel K. Biss,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,0.0,14.48,26.700001,No,0.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6
162,J.B. Pritzker,IL,Governor of Illinois,Governor,Regular,3/20/18,Advanced,None,1.0,14.48,45.099998,Yes,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
163,Robert Marshall,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,0.0,14.48,1.1,No,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
164,Tio Hardiman,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,0.0,14.48,1.6,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
228,Arden Andersen,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,0.0,-23.41,7.9000001,No,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
229,Carl Brewer,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,0.0,-23.41,20.6,No,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
230,Jack Bergeson,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,0.0,-23.41,2.5999999,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
231,Joshua Svaty,KS,Governor of Kansas,Governor,Regular,8/7/18,Lost,None,0.0,-23.41,17.799999,No,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
