,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,dist_num,District Abbrev,total_runners
120,aaron swisher,ID,U.S. House Idaho District 2,Representative,Regular,5/15/18,Advanced,None,1,-28.809999,67.599998,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,2,ID-2,2
121,peter rickards,ID,U.S. House Idaho District 2,Representative,Regular,5/15/18,Lost,None,0,-28.809999,32.400002,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,2,ID-2,2
122,brendan kelly,IL,U.S. House Illinois District 12,Representative,Regular,3/20/18,Advanced,None,1,-13.26,81.0,Yes,0,1.0,0.0,0.0,0,0.0,0.0,Yes,,,Yes,,,,,,,,Yes,,12,IL-12,2
123,david bequette,IL,U.S. House Illinois District 12,Representative,Regular,3/20/18,Lost,None,0,-13.26,19.0,No,0,1.0,0.0,0.0,0,0.0,0.0,No,,,No,,,,,,,,No,,12,IL-12,2
124,angel sides,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,0,-6.73,4.1999998,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,,,,,,No,,,,,,13,IL-13,5
125,betsy londrigan,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Advanced,None,1,-6.73,45.700001,Yes,0,0.0,0.0,0.0,0,0.0,0.0,Yes,Yes,,,,,,No,,,,,,13,IL-13,5
126,david gill,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,0,-6.73,14.4,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,,,,,,Yes,,,,,,13,IL-13,5
127,erik jones,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,0,-6.73,22.4,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,,,,,,No,,,,,,13,IL-13,5
128,jonathan ebel,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,0,-6.73,13.3,No,0,1.0,0.0,0.0,0,0.0,0.0,No,No,,,,,,No,,,,,,13,IL-13,5
129,daniel roldan-johnson,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,0,-7.96,2.3,No,0,0.0,1.0,0.0,0,0.0,0.0,No,No,No,,No,,No,,,,,,,14,IL-14,7
130,george weber,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,0,-7.96,5.0,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,No,,No,,No,,,,,,,14,IL-14,7
131,jim walz,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,0,-7.96,10.0,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,,No,,Yes,,,,,,,14,IL-14,7
132,john hosta,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,0,-7.96,5.0,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,,No,,No,,,,,,,14,IL-14,7
133,lauren underwood,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Advanced,None,1,-7.96,57.299999,Yes,1,0.0,0.0,0.0,0,1.0,1.0,Yes,Yes,Yes,,Yes,,No,,,,,,,14,IL-14,7
134,matt brolley,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,0,-7.96,13.4,No,0,0.0,0.0,1.0,0,1.0,0.0,No,No,No,,No,,No,,,,,,,14,IL-14,7
135,victor swanson,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,0,-7.96,7.0,No,0,1.0,0.0,0.0,0,0.0,0.0,No,No,No,,No,,No,,,,,,,14,IL-14,7
136,carl spoerer,IL,U.S. House Illinois District 15,Representative,Regular,3/20/18,Lost,None,0,-44.630001,37.900002,No,0,0.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,15,IL-15,2
137,kevin gaither,IL,U.S. House Illinois District 15,Representative,Regular,3/20/18,Advanced,None,1,-44.630001,62.099998,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,15,IL-15,2
138,amy murri briel,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,None,0,-17.360001,19.5,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,Yes,,,,,,,16,IL-16,4
139,beth vercolio-osmund,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,None,0,-17.360001,13.0,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,,,,,,,16,IL-16,4
140,neill mohammad,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Lost,None,0,-17.360001,27.200001,No,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,,,,,,,16,IL-16,4
141,sara dady,IL,U.S. House Illinois District 16,Representative,Regular,3/20/18,Advanced,None,1,-17.360001,40.299999,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,,,,,,,16,IL-16,4
142,brian deters,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,Lost,None,0,-28.83,39.5,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,18,IL-18,3
143,darrel miller,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,Lost,None,0,-28.83,18.799999,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,18,IL-18,3
144,junius rodriguez,IL,U.S. House Illinois District 18,Representative,Regular,3/20/18,Advanced,None,1,-28.83,41.700001,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,18,IL-18,3
145,jesus garcia,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Advanced,None,1,65.089996,66.199997,Yes,1,0.0,0.0,1.0,0,0.0,0.0,,No,,,,Yes,Yes,,,,,,,4,IL-4,3
146,richard gonzalez,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Lost,None,0,65.089996,11.9,No,1,0.0,0.0,0.0,0,0.0,0.0,,No,,,,No,No,,,,,,,4,IL-4,3
147,sol flores,IL,U.S. House Illinois District 4,Representative,Regular,3/20/18,Lost,None,0,65.089996,21.9,No,1,0.0,0.0,0.0,0,0.0,0.0,,Yes,,,,No,No,,,,,,,4,IL-4,3
148,amanda howland,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,0,0.67000002,12.7,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,,,,,,,,,,,6,IL-6,7
149,becky anderson wilkins,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,0,0.67000002,6.0,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,,,,,,,,,,,6,IL-6,7
150,carole cheney,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,0,0.67000002,17.4,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,,,,,,,,,,,6,IL-6,7
151,jennifer zordani,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,0,0.67000002,4.0999999,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,,,,,,,,,,,6,IL-6,7
152,kelly mazeski,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,0,0.67000002,26.799999,No,0,0.0,0.0,0.0,0,1.0,0.0,No,Yes,No,,,,,,,,,,,6,IL-6,7
153,ryan huffman,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Lost,None,0,0.67000002,3.5,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,No,,,,,,,,,,,6,IL-6,7
154,sean casten,IL,U.S. House Illinois District 6,Representative,Regular,3/20/18,Advanced,None,1,0.67000002,29.5,Yes,0,0.0,0.0,0.0,1,1.0,0.0,Yes,No,Yes,,,,,,,,,,,6,IL-6,7
155,douglas carpenter,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,0,-23.43,5.3000002,No,0,0.0,0.0,0.0,0,1.0,0.0,,,No,,,,,,,,,,,2,IN-2,6
156,john petroff,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,0,-23.43,1.5,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,,,,,,,,2,IN-2,6
157,mel hall,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Advanced,None,1,-23.43,41.700001,Yes,0,0.0,0.0,0.0,1,1.0,0.0,,,No,,,,,,,,,,,2,IN-2,6
158,pat hackett,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,0,-23.43,28.200001,No,0,0.0,1.0,0.0,0,0.0,0.0,,,No,,,,,,,,,,,2,IN-2,6
159,roland leech,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,0,-23.43,1.2,No,0,1.0,0.0,0.0,0,0.0,0.0,,,No,,,,,,,,,,,2,IN-2,6
160,yatish joshi,IN,U.S. House Indiana District 2,Representative,Regular,5/8/18,Lost,None,0,-23.43,22.1,No,1,0.0,0.0,0.0,1,1.0,0.0,,,Yes,,,,,,,,,,,2,IN-2,6
161,courtney tritch,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Advanced,None,1,-35.48,79.099998,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,3,IN-3,3
162,john roberson,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Lost,None,0,-35.48,10.2,No,1,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,3,IN-3,3
163,tommy schrader,IN,U.S. House Indiana District 3,Representative,Regular,5/8/18,Lost,None,0,-35.48,10.7,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,3,IN-3,3
164,darin patrick griesey,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,0,-34.110001,6.6999998,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,4,IN-4,6
165,joe mackey,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,0,-34.110001,16.1,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,4,IN-4,6
166,roger day,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,0,-34.110001,12.4,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,4,IN-4,6
167,roland ellis,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,0,-34.110001,9.1999998,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,4,IN-4,6
168,tobi beck,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Advanced,None,1,-34.110001,34.599998,Yes,0,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,4,IN-4,6
169,veronikka ziol,IN,U.S. House Indiana District 4,Representative,Regular,5/8/18,Lost,None,0,-34.110001,21.1,No,0,0.0,1.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,4,IN-4,6
170,dee thornton,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Advanced,None,1,-15.58,53.0,Yes,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,5,IN-5,5
171,dion douglas,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,0,-15.58,10.3,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,5,IN-5,5
172,eshel faraggi,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,0,-15.58,7.5999999,No,1,0.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,5,IN-5,5
173,kyle brenden moore,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,0,-15.58,23.700001,No,1,0.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,5,IN-5,5
174,sean dugdale,IN,U.S. House Indiana District 5,Representative,Regular,5/8/18,Lost,None,0,-15.58,5.5,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,5,IN-5,5
175,george thomas holland,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,0,-38.529999,11.1,No,0,1.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,6,IN-6,6
176,jeannine lee lake,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Advanced,None,1,-38.529999,38.299999,Yes,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,6,IN-6,6
177,jim pruett,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,0,-38.529999,25.799999,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,6,IN-6,6
178,joshua williamson,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,0,-38.529999,7.3000002,No,0,0.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,6,IN-6,6
179,k. lave,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,0,-38.529999,1.9,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,6,IN-6,6
180,lane siekman,IN,U.S. House Indiana District 6,Representative,Regular,5/8/18,Lost,None,0,-38.529999,15.6,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,6,IN-6,6
182,daniel canon,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Lost,None,0,-26.83,30.700001,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,,,No,,,Yes,No,,No,,,9,IN-9,3
183,liz watson,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Advanced,None,1,-26.83,66.400002,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,Yes,,,Yes,,,No,Yes,,Yes,,,9,IN-9,3
184,rob chatlos,IN,U.S. House Indiana District 9,Representative,Regular,5/8/18,Lost,None,0,-26.83,2.9000001,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,,,No,,,No,No,,No,,,9,IN-9,3
187,brent welder,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,0,-4.0100002,33.900002,No,0,0.0,0.0,0.0,0,0.0,1.0,,No,Yes,,,Yes,Yes,Yes,Yes,No,,,,3,KS-3,6
188,jay sidie,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,0,-4.0100002,2.9000001,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,No,,,No,No,No,No,No,,,,3,KS-3,6
189,mike mccamon,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,0,-4.0100002,6.9000001,No,0,0.0,0.0,0.0,0,1.0,0.0,,No,No,,,No,No,No,No,No,,,,3,KS-3,6
190,sharice davids,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Advanced,None,1,-4.0100002,37.299999,Yes,1,0.0,1.0,0.0,0,0.0,0.0,,Yes,No,,,No,No,No,No,Yes,,,,3,KS-3,6
191,sylvia williams,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,0,-4.0100002,4.6999998,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,No,,,No,No,No,No,No,,,,3,KS-3,6
192,tom niermann,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,None,0,-4.0100002,14.3,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,No,,,No,No,No,No,Yes,,,,3,KS-3,6
193,james thompson,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Advanced,None,1,-29.309999,65.300003,Yes,0,1.0,0.0,0.0,0,0.0,0.0,,,Yes,,,Yes,Yes,Yes,,,,,,4,KS-4,2
194,laura lombard,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Lost,None,0,-29.309999,34.700001,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,No,No,No,,,,,,4,KS-4,2
195,alonzo pennington,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Lost,None,0,-47.48,25.4,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,,,No,,,,1,KY-1,2
196,paul walker,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Advanced,None,1,-47.48,74.599998,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,Yes,,,Yes,,,,1,KY-1,2
197,brian pedigo,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,0,-39.509998,28.68,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,,,,,,,2,KY-2,4
198,grant short,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,0,-39.509998,19.59,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,Yes,,,,,,,2,KY-2,4
199,hank linderman,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Advanced,None,1,-39.509998,30.02,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,,,,,,,2,KY-2,4
200,rane eir olivia sessions,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,None,0,-39.509998,21.719999,No,0,1.0,0.0,0.0,0,0.0,0.0,,,,,,,No,,,,,,,2,KY-2,4
201,christina lord,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Lost,None,0,-36.610001,21.709999,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,,,,,,,,4,KY-4,3
202,patti piatt,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Lost,None,0,-36.610001,37.529999,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,,,4,KY-4,3
203,seth hall,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Advanced,None,1,-36.610001,40.77,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,,,,,,,,4,KY-4,3
204,kenneth stepp,KY,U.S. House Kentucky District 5,Representative,Regular,5/22/18,Advanced,None,1,-62.060001,58.689999,Yes,0,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,5,KY-5,2
205,scott sykes,KY,U.S. House Kentucky District 5,Representative,Regular,5/22/18,Lost,None,0,-62.060001,41.310001,No,0,0.0,0.0,1.0,0,0.0,0.0,,,,,,,,,,,,,,5,KY-5,2
206,amy mcgrath,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Advanced,None,1,-17.41,48.66,Yes,0,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,Yes,,6,KY-6,6
207,daniel kemph,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,0,-17.41,1.23,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,No,,6,KY-6,6
208,geoff young,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,0,-17.41,1.5700001,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,6,KY-6,6
209,jim gray,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,0,-17.41,40.509998,No,0,0.0,1.0,1.0,0,0.0,0.0,,,,,,,,,,,,,,6,KY-6,6
210,reggie thomas,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,0,-17.41,7.1999998,No,1,0.0,0.0,1.0,0,0.0,0.0,,,,,,,,,,,,No,,6,KY-6,6
211,theodore green,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Lost,None,0,-17.41,0.82999998,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,No,,6,KY-6,6
212,allison galbraith,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,0,-29.66,28.0,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,No,,,,,No,,1,MD-1,6
213,erik lane,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,0,-29.66,2.2,No,0,0.0,0.0,0.0,0,1.0,0.0,,,No,,,,No,,,,,No,,1,MD-1,6
214,jesse colvin,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Advanced,None,1,-29.66,38.0,Yes,0,1.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,No,,,,,Yes,,1,MD-1,6
215,michael brown,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,0,-29.66,15.0,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,,,,,No,,1,MD-1,6
216,michael pullen,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,0,-29.66,12.9,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,Yes,,,,,No,,1,MD-1,6
217,steve worton,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,None,0,-29.66,3.9000001,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,,,,,No,,1,MD-1,6
218,andrew duck,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,0,11.89,4.9000001,No,0,1.0,0.0,0.0,0,0.0,0.0,,No,Yes,,,,No,No,,,No,,,6,MD-6,8
219,aruna miller,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,0,11.89,30.700001,No,1,0.0,0.0,1.0,0,1.0,0.0,,Yes,Yes,,,,No,No,,,No,,,6,MD-6,8
220,chris graves,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,0,11.89,1.6,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,No,,,,No,No,,,No,,,6,MD-6,8
221,christopher hearsey,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,0,11.89,0.89999998,No,0,0.0,0.0,0.0,0,1.0,0.0,,No,Yes,,,,No,No,,,No,,,6,MD-6,8
222,david trone,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Advanced,None,1,11.89,40.299999,Yes,0,0.0,0.0,0.0,1,0.0,0.0,,No,Yes,,,,No,No,,,No,,,6,MD-6,8
223,george english,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,0,11.89,1.1,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,No,,,,No,No,,,No,,,6,MD-6,8
224,nadia hashimi,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,0,11.89,10.4,No,1,0.0,0.0,0.0,0,1.0,0.0,,No,Yes,,,,No,No,,,No,,,6,MD-6,8
225,roger manno,MD,U.S. House Maryland District 6,Representative,Regular,6/26/18,Lost,None,0,11.89,10.3,No,0,0.0,0.0,1.0,0,0.0,0.0,,No,Yes,,,,Yes,Yes,,,Yes,,,6,MD-6,8
226,craig olson,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Lost,None,0,-8.1300001,8.8299999,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,No,,2,ME-2,3
227,jared golden,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Advanced,None,1,-8.1300001,46.419998,Yes,0,1.0,0.0,1.0,0,0.0,0.0,,,No,,,,,,,,,Yes,,2,ME-2,3
228,lucas st. clair,ME,U.S. House Maine District 2,Representative,Regular,6/12/18,Lost,None,0,-8.1300001,39.240002,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,No,,2,ME-2,3
229,frank accavitti jr.,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,None,0,-29.58,32.0,No,0,0.0,0.0,1.0,0,0.0,0.0,,,,,,,,,,,,,,10,MI-10,3
230,kimberly bizon,MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Advanced,None,1,-29.58,41.099998,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,10,MI-10,3
231,michael mccarthy (michigan),MI,U.S. House Michigan District 10,Representative,Regular,8/7/18,Lost,None,0,-29.58,26.9,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,10,MI-10,3
232,fayrouz saad,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,0,-7.1799998,19.5,No,1,0.0,0.0,0.0,0,0.0,1.0,,,,,,,,Yes,,,,,,11,MI-11,5
233,haley stevens,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Advanced,None,1,-7.1799998,27.0,Yes,0,0.0,0.0,0.0,0,0.0,1.0,,,,,,,,No,,,,,,11,MI-11,5
234,nancy skinner,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,0,-7.1799998,10.4,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,No,,,,,,11,MI-11,5
235,suneel gupta,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,0,-7.1799998,21.299999,No,1,0.0,0.0,0.0,0,1.0,0.0,,,,,,,,No,,,,,,11,MI-11,5
236,tim greimel,MI,U.S. House Michigan District 11,Representative,Regular,8/7/18,Lost,None,0,-7.1799998,21.799999,No,0,0.0,0.0,1.0,0,0.0,0.0,,,,,,,,No,,,,,,11,MI-11,5
237,bill wild,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,0,60.720001,14.0,No,0,0.0,0.0,1.0,0,0.0,0.0,,,,,,,No,No,No,,,,,13,MI-13,6
238,brenda jones,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,0,60.720001,29.200001,No,1,0.0,0.0,1.0,0,0.0,0.0,,,,,,,No,No,No,,,,,13,MI-13,6
239,coleman young ii,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,0,60.720001,12.0,No,1,0.0,0.0,1.0,0,0.0,0.0,,,,,,,No,No,No,,,,,13,MI-13,6
240,ian conyers,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,0,60.720001,6.3000002,No,1,0.0,0.0,1.0,0,0.0,0.0,,,,,,,No,No,No,,,,,13,MI-13,6
241,rashida tlaib,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Advanced,None,1,60.720001,33.200001,Yes,1,0.0,0.0,1.0,0,0.0,1.0,,,,,,,Yes,Yes,Yes,,,,No,13,MI-13,6
242,shanelle jackson,MI,U.S. House Michigan District 13,Representative,Regular,8/7/18,Lost,None,0,60.720001,5.3000002,No,1,0.0,0.0,1.0,0,0.0,0.0,,,,,,,No,No,No,,,,,13,MI-13,6
244,cathy albro,MI,U.S. House Michigan District 3,Representative,Regular,8/7/18,Advanced,None,1,-11.41,68.199997,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,,,3,MI-3,2
245,fred wooden,MI,U.S. House Michigan District 3,Representative,Regular,8/7/18,Lost,None,0,-11.41,31.799999,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,3,MI-3,2
246,jerry hilliard,MI,U.S. House Michigan District 4,Representative,Regular,8/7/18,Advanced,None,1,-23.129999,66.400002,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,4,MI-4,2
247,zigmond kozicki,MI,U.S. House Michigan District 4,Representative,Regular,8/7/18,Lost,None,0,-23.129999,33.599998,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,4,MI-4,2
248,david benac,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,0,-9.1800003,21.700001,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,Yes,Yes,,,,,,6,MI-6,4
249,george franklin,MI,U.S. House Michigan District 6,Representative,Regular,8/7/18,Lost,None,0,-9.1800003,28.1,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,No,No,,,,,,6,MI-6,4
