,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,dist_num,District Abbrev,total_runners
33,tatiana matta,CA,U.S. House California District 23,Representative,Regular,6/5/18,Advanced,None,1,-25.379999,42.720001,Yes,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,23,CA-23,4
34,wendy reed,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,0,-25.379999,34.25,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,23,CA-23,4
35,bryan caforio,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,0,2.02,38.259998,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,Yes,,,,No,Yes,,,,,,25,CA-25,4
36,jess phoenix,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,0,2.02,13.24,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,Yes,,,,Yes,No,,,,,,25,CA-25,4
37,katie hill,CA,U.S. House California District 25,Representative,Regular,6/5/18,Advanced,None,1,2.02,42.970001,Yes,0,0.0,1.0,0.0,0,0.0,0.0,Yes,Yes,Yes,,,,No,No,,,,,,25,CA-25,4
38,mary pallant,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,0,2.02,5.54,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,,,,,No,No,,,,,,25,CA-25,4
39,andy thorburn,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,0,2.99,20.440001,No,0,0.0,0.0,0.0,1,0.0,0.0,No,No,Yes,,,,Yes,,,No,,No,,39,CA-39,6
40,gil cisneros,CA,U.S. House California District 39,Representative,Regular,6/5/18,Advanced,None,1,2.99,43.23,Yes,1,1.0,0.0,0.0,1,0.0,0.0,Yes,No,Yes,,,,No,,,No,,Yes,,39,CA-39,6
41,herbert lee,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,0,2.99,9.4200001,No,1,0.0,0.0,0.0,1,1.0,0.0,No,No,No,,,,No,,,No,,No,,39,CA-39,6
42,mai khanh tran,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,0,2.99,11.69,No,1,0.0,0.0,0.0,1,1.0,0.0,No,Yes,Yes,,,,No,,,No,,No,,39,CA-39,6
43,sam jammal,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,0,2.99,11.98,No,1,0.0,0.0,0.0,0,0.0,1.0,No,No,Yes,,,,No,,,Yes,,No,,39,CA-39,6
44,suzi park leggett,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,0,2.99,3.24,No,1,0.0,0.0,0.0,0,0.0,0.0,No,No,No,,,,No,,,No,,No,,39,CA-39,6
45,jessica morse,CA,U.S. House California District 4,Representative,Regular,6/5/18,Advanced,None,1,-18.16,49.099998,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,No,No,,Yes,,,,4,CA-4,4
46,regina bateson,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,0,-18.16,30.07,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,No,No,,No,,,,4,CA-4,4
47,robert lawton,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,0,-18.16,5.25,No,0,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,No,No,,No,,,,4,CA-4,4
48,roza calderon,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,0,-18.16,15.57,No,1,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,Yes,Yes,,No,,,,4,CA-4,4
49,julia peacock,CA,U.S. House California District 42,Representative,Regular,6/5/18,Advanced,None,1,-15.31,76.019997,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,Yes,,,,42,CA-42,2
50,norman quintero,CA,U.S. House California District 42,Representative,Regular,6/5/18,Lost,None,0,-15.31,23.98,No,1,0.0,0.0,0.0,0,0.0,0.0,,,No,,,,,,,No,,,,42,CA-42,2
51,brian forde,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,0,-1.4299999,13.06,No,0,0.0,0.0,0.0,0,1.0,1.0,No,No,Yes,,No,,No,,No,,,,,45,CA-45,4
52,dave min,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,0,-1.4299999,38.740002,No,1,0.0,0.0,0.0,0,0.0,0.0,No,No,Yes,,No,,No,,No,,,,,45,CA-45,4
