,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,General Status,CAND_CONTRIB,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,INDIV_REFUNDS,CMTE_REFUNDS,CVG_END_DT,Emily Endorsed?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?
33,BRIAN FORDE,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,,5400.0,12500.0,0.0,112515.53,0.0,12/31/2018,No,,No,,No,,No,,,
34,KIA HAMADANCHY,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,,0.0,11000.0,0.0,44840.12,0.0,08/24/2018,No,,No,,Yes,,No,,,
35,HANS KEIRSTEAD,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,,155400.0,29700.0,0.0,51066.92,0.0,12/31/2018,No,,,,,No,,No,,
36,HARLEY ROUDA,CA,U.S. House California District 48,Representative,Regular,6/5/18,Advanced,On the Ballot,55500.0,558821.0,0.0,75464.86,14696.03,12/31/2018,No,,,,,No,,Yes,,
37,LAURA OATMAN,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,,13197.23,0.0,0.0,24767.7,0.0,12/31/2018,No,,,,,Yes,,No,,
38,OMAR SIDDIQUI,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,,241849.27,0.0,0.0,14002.42,0.0,12/31/2018,No,,,,,No,,No,,
39,RACHEL PAYNE,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,,94688.53,5000.0,0.0,42475.0,0.0,12/31/2018,Yes,,,,,No,,No,,
40,TONY ZARKADES,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,,0.0,0.0,0.0,0.0,0.0,06/30/2018,No,,,,,No,,No,,
41,MIKE LEVIN,CA,U.S. House California District 49,Representative,Regular,6/5/18,Advanced,On the Ballot,11525.82,509592.08,6129.23,65291.47,4924.22,12/31/2018,No,,,,,No,Yes,,,No
42,PAUL KERR,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,,5715217.54,11000.0,0.0,347045.19,6000.0,12/31/2018,No,,,,,No,No,,,No
43,SARA JACOBS,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,,2155798.19,13500.0,0.0,177228.04,1000.0,12/31/2018,Yes,,,,,No,No,,,No
44,AMMAR CAMPA-NAJJAR,CA,U.S. House California District 50,Representative,Regular,6/5/18,Advanced,On the Ballot,0.0,190162.52,15785.55,72443.83,2750.0,12/31/2018,,,,,,Yes,Yes,Yes,,
45,JOSH BUTNER,CA,U.S. House California District 50,Representative,Regular,6/5/18,Lost,,10820.82,60700.0,0.0,93695.14,0.0,07/24/2018,,,,,,No,No,No,,Yes
46,MARK WILLIAMS,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Lost,,0.0,0.0,0.0,91.0,0.0,09/30/2018,,,,,,,,,,
47,KARL HANLON,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Lost,,7829.61,150.0,0.0,22881.82,0.0,10/12/2018,No,,,,,,,,,
48,KAREN MCCORMICK,CO,U.S. House Colorado District 4,Representative,Regular,6/26/18,Advanced,On the Ballot,7742.65,35627.59,0.0,3918.79,0.0,12/31/2018,,,,,,,,,,
49,STEPHANY SPAULDING,CO,U.S. House Colorado District 5,Representative,Regular,6/26/18,Advanced,On the Ballot,12323.32,36432.0,0.0,621.0,0.0,12/31/2018,,,,,,Yes,,,,
50,JASON CROW,CO,U.S. House Colorado District 6,Representative,Regular,6/26/18,Advanced,On the Ballot,0.0,544541.17,0.0,15427.5,0.0,12/31/2018,,,,,No,,,,,Yes
51,LEVI TILLEMANN,CO,U.S. House Colorado District 6,Representative,Regular,6/26/18,Lost,,325.0,4000.0,0.0,39201.36,4000.0,10/09/2018,,,,,Yes,,,,,No
52,BARBARA SEIDMAN,GA,U.S. House Georgia District 1,Representative,Regular,5/22/18,Lost,,7522.0,0.0,0.0,0.0,0.0,05/29/2018,,,,,,No,No,No,,
53,LISA RING,GA,U.S. House Georgia District 1,Representative,Regular,5/22/18,Advanced,On the Ballot,2025.0,9639.77,0.0,0.0,0.0,12/31/2018,,,,,Yes,Yes,No,Yes,,
54,CHALIS MONTGOMERY,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Lost,,140.34,500.0,0.0,25.0,0.0,12/31/2018,,,,,,,,,,
55,RICHARD WINFIELD,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Lost,,0.0,1169.65,0.0,2853.0,0.0,06/25/2018,,,,,,,,,,
56,TABITHA JOHNSON-GREEN,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Advanced,On the Ballot,5280.0,600.39,0.0,75.0,0.0,12/31/2018,,,,,,,,,,
57,FRANCYS JOHNSON,GA,U.S. House Georgia District 12,Representative,Regular,5/22/18,Advanced,On the Ballot,20379.69,22559.91,5923.15,4235.0,0.0,12/31/2018,,,,,,,,,,
58,ROBERT INGHAM,GA,U.S. House Georgia District 12,Representative,Regular,5/22/18,Lost,,499.0,0.0,0.0,0.0,0.0,06/30/2018,,,,,,,,,,
59,STEVEN FOSTER,GA,U.S. House Georgia District 14,Representative,Regular,5/22/18,Advanced,On the Ballot,0.0,587.0,560.0,0.0,0.0,12/31/2018,,,,,,,,,,
60,BOBBY KAPLE,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Lost,,0.0,14750.0,0.0,60177.0,0.0,12/31/2018,No,,,,,,,,,
61,KEVIN ABEL,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Advanced,,0.0,0.0,0.0,6050.0,0.0,12/31/2018,No,,,,,,,,,
62,STEVEN GRIFFIN,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Lost,,0.0,0.0,0.0,100.0,0.0,12/31/2018,No,,,,,,,,,
63,DAVID KIM,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Advanced,,478388.88,500.0,0.0,600.0,0.0,12/31/2018,No,,,,No,,,,,
64,ETHAN PHAM,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,,15255.0,2250.0,0.0,15375.0,0.0,06/30/2018,No,,,,No,,,,,
65,KATHLEEN ALLEN,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,,0.0,1000.0,0.0,0.0,0.0,09/30/2018,No,,,,Yes,,,,,
66,MELISSA DAVIS,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,,0.0,0.0,0.0,0.0,0.0,12/31/2018,No,,,,No,,,,,
67,DAVE COOPER,GA,U.S. House Georgia District 9,Representative,Regular,5/22/18,Lost,,0.0,0.0,58.0,0.0,0.0,05/02/2018,,,,,No,,,Yes,,
68,COURTNEY ROWE,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,,1776.46,15.14,0.0,50.0,0.0,10/12/2018,No,No,,,,Yes,,,,
69,GEORGE RAMSEY,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,,0.0,0.0,0.0,0.0,0.0,12/31/2018,No,No,,,,,,,,
