,Primary.Outcome,District,Brookings Candidate,Female,Listed.military.service.,Education,Marital.Status,Previous.Electoral.Experience,Position.on.Affordable.Care.Act..ObamaCare.,Position.on.Minimum.Wage,Position.on.Federal.Taxes,Position.on.Business.Regulations,Position.on.National.Debt.Deficit,Position.on.Social.Security,Position.on.Gun.Control,Position.on.Immigration,Position.on.Abortion,Position.on.Same.Sex.Marriage,Position.on.Criminal.Justice.Reform,Position.on.Federal.K.12.Education.Policy,Position.on.Climate.Change,Position.on.Campaign.Finance.Reform,Position.on.Legalization.Decriminalization.of.Marijuana.Policy,Position.on.Defense.Spending,Position.on.Handling.Terrorism.Abroad,Position.on.Russia,Party.Category,Trump.Mention,Obama.Mention,Sanders.Mention,Clinton.Mention,Special.Counsel.Mention,Travel.Ban.Mention,SinglePayer,total_runners_brookings,General Status,District Abbrev,House Candidate,Partisan Lean,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners_house
115,0,IL-6,carole cheney,1.0,"No, the candidate does not include any information about serving in the military",J.D.,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,,7,0.0,IL-6,carole cheney,0.67000002,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,7
116,0,IL-6,ryan huffman,0.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,POSITIVE MENTION,POSITIVE MENTION,POSITIVE MENTION,NO MENTION,NEGATIVE MENTION,"Yes, candidate supports universal healthcare reforms",7,0.0,IL-6,ryan huffman,0.67000002,White,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,7
117,0,IL-6,becky wilkins,1.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,Candidate mentions previous elected office experience,Candidate explicitly supports ACA,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NEGATIVE MENTION,,7,0.0,IL-6,becky anderson wilkins,0.67000002,White,No,No,No,No,No,No,No,No,No,,,,,,,,,,,7
118,1,IL-6,sean casten,0.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NEUTRAL MENTION,NO MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,,7,1.0,IL-6,sean casten,0.67000002,White,No,No,No,Yes,Yes,No,Yes,No,Yes,,,,,,,,,,,7
119,0,IL-12,david bequette,0.0,"Yes, the candidate serves or served in the military",Bachelor's Degree,Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides complicated/complex/unclear position,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate opposes reductions in military spending,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,2,0.0,IL-12,david bequette,-13.26,White,Yes,No,No,No,No,No,No,,,No,,,,,,,,No,,2
120,1,IL-12,brendan kelly,0.0,"Yes, the candidate serves or served in the military",J.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,2,1.0,IL-12,brendan kelly,-13.26,White,Yes,No,No,No,No,No,Yes,,,Yes,,,,,,,,Yes,,2
121,0,IL-13,jon ebel,0.0,"Yes, the candidate serves or served in the military",Ph.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate notes Russia as political enemy of the United States,Establishment Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",5,0.0,IL-13,jonathan ebel,-6.73,White,Yes,No,No,No,No,No,No,No,,,,,,No,,,,,,5
122,0,IL-13,erik jones,0.0,"No, the candidate does not include any information about serving in the military",J.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",5,0.0,IL-13,erik jones,-6.73,White,No,No,No,No,No,No,No,No,,,,,,No,,,,,,5
123,0,IL-13,david gill,0.0,"No, the candidate does not include any information about serving in the military",M.D./D.M.D./D.O./D.D.S./D.V.M.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",5,0.0,IL-13,david gill,-6.73,White,No,No,No,No,Yes,No,No,No,,,,,,Yes,,,,,,5
124,0,IL-13,angel sides,1.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,5,0.0,IL-13,angel sides,-6.73,White,No,No,No,No,No,No,No,No,,,,,,No,,,,,,5
125,1,IL-13,betsy londrigan,1.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,5,1.0,IL-13,betsy londrigan,-6.73,White,No,No,No,No,No,No,Yes,Yes,,,,,,No,,,,,,5
126,0,IL-14,daniel roldan-johnson,0.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate notes Russia as political enemy of the United States,Establishment Democrat,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,,7,0.0,IL-14,daniel roldan-johnson,-7.96,White,No,Yes,No,No,No,No,No,No,No,,No,,No,,,,,,,7
127,0,IL-14,jim walz,0.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NEUTRAL MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",7,0.0,IL-14,jim walz,-7.96,White,No,No,No,No,No,No,No,No,No,,No,,Yes,,,,,,,7
128,0,IL-14,matthew brolley,0.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,7,0.0,IL-14,matt brolley,-7.96,White,No,No,Yes,No,Yes,No,No,No,No,,No,,No,,,,,,,7
129,0,IL-14,victor swanson,0.0,"Yes, the candidate serves or served in the military",Master's Degree (includes MBA),No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEUTRAL MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",7,0.0,IL-14,victor swanson,-7.96,White,Yes,No,No,No,No,No,No,No,No,,No,,No,,,,,,,7
130,0,IL-14,george weber,0.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",7,0.0,IL-14,george weber,-7.96,White,No,No,No,No,Yes,No,No,No,No,,No,,No,,,,,,,7
131,0,IL-14,john hosta,0.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,"Candidate supports local solutions to reform education (e.g. opposes common core, etc.)",Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate opposes reductions in military spending,Candidate provides no information,Candidate provides no information,Other,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,7,0.0,IL-14,john hosta,-7.96,White,No,No,No,No,No,No,No,No,No,,No,,No,,,,,,,7
132,1,IL-14,lauren underwood,1.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,7,1.0,IL-14,lauren underwood,-7.96,Nonwhite,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,,No,,,,,,,7
133,0,IL-15,carl spoerer,0.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate supports calls for increased American intervention to combat terrorism,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",2,0.0,IL-15,carl spoerer,-44.630001,White,No,No,No,No,Yes,No,,,,,,,,,,,,,,2
134,1,IL-15,kevin gaither,0.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides complicated/complex/unclear position,Establishment Democrat,NEGATIVE MENTION,NEUTRAL MENTION,COMPLICATED,COMPLICATED,NEGATIVE MENTION,NEGATIVE MENTION,,2,1.0,IL-15,kevin gaither,-44.630001,White,No,No,No,No,No,No,,,,,,,,,,,,,,2
135,0,IL-16,amy briel,1.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,,Candidate explicitly supports ACA,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,NEGATIVE MENTION,NO MENTION,NEUTRAL MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,,4,0.0,IL-16,amy murri briel,-17.360001,White,No,No,No,No,No,No,,,,,,,Yes,,,,,,,4
136,0,IL-16,neill mohammad,0.0,"No, the candidate does not include any information about serving in the military",Ph.D.,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate supports a reduction in military spending,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NEGATIVE MENTION,"Yes, candidate supports universal healthcare reforms",4,0.0,IL-16,neill mohammad,-17.360001,Nonwhite,No,No,No,No,No,No,,,,,,,No,,,,,,,4
137,0,IL-16,beth vercolio-osmund,1.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",4,0.0,IL-16,beth vercolio-osmund,-17.360001,White,No,No,No,No,No,No,,,,,,,No,,,,,,,4
138,1,IL-16,sara dady,1.0,"No, the candidate does not include any information about serving in the military",J.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Establishment Democrat,NEGATIVE MENTION,NEGATIVE MENTION,NEUTRAL MENTION,NEUTRAL MENTION,NO MENTION,NEGATIVE MENTION,"Yes, candidate supports universal healthcare reforms",4,1.0,IL-16,sara dady,-17.360001,White,No,No,No,No,No,No,,,,,,,No,,,,,,,4
139,0,IL-18,darrel miller,0.0,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate supports placing smart regulations on business,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate provides complicated/complex/unclear position,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-life position (i.e. anti-abortion),Candidate provides no information,Candidate supports major criminal justice reform,Candidate provides complicated/complex/unclear position,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate supports a reduction in military spending,Candidate provides no information,Candidate provides no information,Moderate Democrat,NEGATIVE MENTION,NEUTRAL MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,NO MENTION,,3,0.0,IL-18,darrel miller,-28.83,White,No,No,No,No,No,No,,,,,,,,,,,,,,3
140,0,IL-18,brian deters,0.0,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate supports a reduction in military spending,Candidate supports status quo efforts to combat terrorism,Candidate provides complicated/complex/unclear position,Establishment Democrat,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",3,0.0,IL-18,brian deters,-28.83,White,No,No,No,No,No,No,,,,,,,,,,,,,,3
141,1,IL-18,junius rodriguez,0.0,"No, the candidate does not include any information about serving in the military",Ph.D.,No information,,Candidate provides no information,Candidate supports raising the minimum wage,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate proposes reforms to reshape Social Security (e.g. increasing the retirement age; means-testing; etc.),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Moderate Democrat,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,3,1.0,IL-18,junius rodriguez,-28.83,White,No,No,No,No,No,No,,,,,,,,,,,,,,3
142,0,IN-2,john petroff,0.0,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate supports status quo efforts to combat terrorism,Candidate notes Russia as political enemy of the United States,Other,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",6,0.0,IN-2,john petroff,-23.43,White,No,No,No,No,No,No,,,No,,,,,,,,,,,6
143,0,IN-2,pat hackett,1.0,"No, the candidate does not include any information about serving in the military",J.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,NEGATIVE MENTION,NO MENTION,NEUTRAL MENTION,POSITIVE MENTION,NO MENTION,NEGATIVE MENTION,"Yes, candidate supports universal healthcare reforms",6,0.0,IN-2,pat hackett,-23.43,White,No,Yes,No,No,No,No,,,No,,,,,,,,,,,6
