,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
264,Krishanti Vignarajah,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,0.0,23.799999,8.1999998,No,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
265,Ralph Jaffe,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,0.0,23.799999,1.6,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Richard Madaleno,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,0.0,23.799999,5.8000002,No,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
267,Rushern Baker III,MD,Governor of Maryland,Governor,Regular,6/26/18,Lost,None,0.0,23.799999,29.4,No,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
282,Adam Cote,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,0.0,3.51,28.129999,No,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
283,Betsy Sweet,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,0.0,3.51,16.459999,No,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
284,Diane Russell,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,0.0,3.51,2.1600001,No,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
285,Donna Dion,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,0.0,3.51,1.27,No,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
286,Janet T. Mills,ME,Governor of Maine,Governor,Regular,6/12/18,Advanced,None,1.0,3.51,33.09,Yes,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
287,Mark Dion,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,0.0,3.51,4.1199999,No,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
288,Mark Eves,ME,Governor of Maine,Governor,Regular,6/12/18,Lost,None,0.0,3.51,14.18,No,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
293,Abdul El-Sayed,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,0.0,-0.33000001,30.5,No,1.0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
294,Gretchen Whitmer,MI,Governor of Michigan,Governor,Regular,8/7/18,Advanced,None,1.0,-0.33000001,51.799999,Yes,0.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
295,Shri Thanedar,MI,Governor of Michigan,Governor,Regular,8/7/18,Lost,None,0.0,-0.33000001,17.700001,No,1.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
383,Bob Krist,NE,Governor of Nebraska,Governor,Regular,5/15/18,Advanced,None,1.0,-26.76,59.810001,Yes,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,Tyler Davis,NE,Governor of Nebraska,Governor,Regular,5/15/18,Lost,None,0.0,-26.76,11.39,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,Vanessa Ward,NE,Governor of Nebraska,Governor,Regular,5/15/18,Lost,None,0.0,-26.76,28.799999,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,Jeff Apodaca,NM,Governor of New Mexico,Governor,Regular,6/5/18,Lost,None,0.0,6.1599998,22.16,No,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,Joseph Cervantes,NM,Governor of New Mexico,Governor,Regular,6/5/18,Lost,None,0.0,6.1599998,11.47,No,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,Michelle Lujan Grisham,NM,Governor of New Mexico,Governor,Regular,6/5/18,Advanced,None,1.0,6.1599998,66.379997,Yes,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
421,Asheesh Dewan,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,0.0,0.94999999,1.01,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,Chris Giunchigliani,NV,Governor of Nevada,Governor,Regular,6/12/18,Lost,None,0.0,0.94999999,38.860001,No,,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
